,owner,asset_description,asset_type,type,amount,comment,senator,ptr_link,id,min_amount,max_amount,Open,High,Low,Close,Volume,Adjusted,Error_message_x,transaction_date,ticker,o_c_perc,h_l_perc,Error_message_y,1_Week_O,1_Week_C,1_Week_H,1_Week_L,1_Week_V,1_Week_A,1_Week_o_p,1_Week_c_p,Error_message,1_Month_O,1_Month_C,1_Month_H,1_Month_L,1_Month_V,1_Month_A,1_Month_o_p,1_Month_c_p
20,Joint,Berkshire Hathaway Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,32,1001,15000.0,212.55000299999998,212.75,207.009995,208.96000700000002,8112700.0,208.96000700000002,None,03/05/2020,BRK-B,-0.01689012443815377,0.027728153899042395,None,183.600006,175.970001,187.669998,175.0,22293800.0,175.970001,-0.13620323025824643,-0.15787712909102275,None,175.0,179.729996,180.309998,174.229996,7271900.0,179.729996,-0.17666432589982123,-0.13988327919610002
21,Joint,Berkshire Hathaway Inc.,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,33,15001,50000.0,212.55000299999998,212.75,207.009995,208.96000700000002,8112700.0,208.96000700000002,None,03/05/2020,BRK-B,-0.01689012443815377,0.027728153899042395,None,183.600006,175.970001,187.669998,175.0,22293800.0,175.970001,-0.13620323025824643,-0.15787712909102275,None,175.0,179.729996,180.309998,174.229996,7271900.0,179.729996,-0.17666432589982123,-0.13988327919610002
22,Joint,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,34,1001,15000.0,20.74,20.77,19.43,19.73,3896300.0,19.73,None,03/05/2020,URBN,-0.048698167791706756,0.06896551724137931,None,14.6,14.62,14.69,13.64,3833900.0,14.62,-0.29604628736740596,-0.2589964521033959,None,13.1,13.08,13.81,12.84,2587500.0,13.08,-0.3683702989392478,-0.33705017739483023
23,Joint,Berkshire Hathaway Inc.,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,36,15001,50000.0,203.479996,207.41000400000001,202.350006,205.979996,9443500.0,205.979996,None,03/06/2020,BRK-B,0.01228622001742127,0.025006166790032154,None,187.449997,196.399994,196.5,178.41000400000001,14859100.0,196.399994,-0.0787792378372172,-0.046509380454595246,None,178.58999599999999,178.33999599999999,180.220001,175.440002,6643700.0,178.33999599999999,-0.12232160649344624,-0.13418778782770738
24,Joint,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,37,1001,15000.0,25.469998999999998,26.209999,25.1,25.709999,119121200.0,25.709999,None,03/06/2020,BAC,-0.00942285078220859,-0.0442230677290836,None,22.190001000000002,24.16,24.25,21.48,128357400.0,24.16,0.1287788821664263,0.06028778919828039,None,20.4,20.030001000000002,20.74,19.68,68293500.0,20.030001000000002,0.19905768351227654,0.22092564064277084
25,Joint,Berkshire Hathaway Inc.,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,38,15001,50000.0,203.479996,207.41000400000001,202.350006,205.979996,9443500.0,205.979996,None,03/06/2020,BRK-B,0.01228622001742127,0.025006166790032154,None,187.449997,196.399994,196.5,178.41000400000001,14859100.0,196.399994,-0.0787792378372172,-0.046509380454595246,None,178.58999599999999,178.33999599999999,180.220001,175.440002,6643700.0,178.33999599999999,-0.12232160649344624,-0.13418778782770738
26,Joint,Berkshire Hathaway Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,40,1001,15000.0,195.0,198.479996,192.259995,193.130005,13950500.0,193.130005,None,03/09/2020,BRK-B,-0.009589717948717892,0.03235202934443016,None,174.0,177.770004,188.380005,173.619995,14168600.0,177.770004,-0.1076923076923077,-0.07953192462248428,None,184.610001,185.240005,186.41000400000001,180.490005,9935500.0,185.240005,-0.053282046153846095,-0.04085331018346949
27,Joint,"MSC Industrial Direct Co., Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,41,1001,15000.0,55.880001,56.57,50.25,53.759997999999996,1788500.0,53.090340000000005,None,03/10/2020,MSM,-0.03793849252078582,0.12577114427860697,None,52.52,57.220001,57.470001,51.150002,993000.0,56.50724399999999,-0.060128864349877104,0.06436017724554245,None,58.5,58.049999,62.150002,57.48,1276200.0,57.326904000000006,0.046886165946919,0.07979912871276527
28,Joint,"Macy's, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,42,1001,15000.0,10.96,11.33,9.86,10.35,18271000.0,9.937745,None,03/10/2020,M,-0.05565693430656945,0.14908722109533476,None,6.8,6.7,6.86,6.0,28841000.0,6.7,-0.37956204379562053,-0.35265700483091783,None,6.22,5.91,6.89,5.62,49855900.0,5.91,-0.4324817518248176,-0.4289855072463768
29,Joint,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,43,1001,15000.0,10.35,10.83,10.06,10.8,3831700.0,10.8,None,03/10/2020,NWSA,0.04347826086956532,0.07654075546719677,None,10.17,10.88,11.48,9.97,7291400.0,10.88,-0.01739130434782606,0.007407407407407414,None,8.83,8.79,9.55,8.63,5625500.0,8.79,-0.14685990338164248,-0.18611111111111125
30,Joint,Fox Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,44,1001,15000.0,28.27,29.26,27.0,29.110001,4608400.0,29.110001,None,03/10/2020,FOXA,0.02971351255748146,0.08370370370370377,None,24.370001000000002,25.139999,25.58,22.92,7751200.0,25.139999,-0.13795539441103635,-0.1363793151364028,None,26.209999,25.49,27.110001,25.389999,4559900.0,25.49,-0.07286880084895649,-0.12435592152676332
31,Joint,GrafTech International Ltd.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,45,1001,15000.0,7.6,7.835,7.22,7.6,3586300.0,7.6,None,03/10/2020,EAF,0.0,0.08518005540166208,None,6.71,8.0,8.3,6.58,3839900.0,8.0,-0.1171052631578947,0.052631578947368474,None,8.0,7.86,8.28,7.81,1364100.0,7.86,0.052631578947368474,0.034210526315789566
32,Joint,"Genesis Energy, L.P.",Stock,Sale (Full),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,46,1001,15000.0,5.27,5.98,5.06,5.78,3870700.0,5.636694,None,03/11/2020,GEL,-0.09677419354838723,-0.181818181818182,None,4.45,3.08,4.59,2.58,2296100.0,3.003636,0.1555977229601517,0.4671280276816609,None,4.4,4.87,5.05,4.32,2068500.0,4.749256,0.16508538899430727,0.15743944636678203
38,Joint,Axalta Coating Systems Ltd.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,55,1001,15000.0,17.389999,17.77,14.51,15.56,4459900.0,15.56,None,03/16/2020,AXTA,-0.10523284101396435,0.22467263955892486,None,14.83,13.67,14.93,13.404000000000002,3801200.0,13.67,-0.14721099178901617,-0.12146529562982009,None,18.370001000000002,18.190001000000002,18.57,17.68,1730200.0,18.190001000000002,0.05635434481623619,0.16902320051413894
39,Joint,The Kroger Co.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,57,1001,15000.0,29.33,33.209998999999996,29.0,31.1,24770300.0,31.1,None,03/16/2020,KR,-0.06034776679168098,-0.1451723793103447,None,31.780001000000002,31.08,32.720001,30.77,13199900.0,31.08,-0.08353225366518936,0.0006430868167203578,None,31.200001,31.33,32.23,31.049999,13509400.0,31.33,-0.06375727923627693,-0.007395498392282858
40,Joint,Regions Financial Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,59,1001,15000.0,8.52,8.77,8.13,8.31,20294300.0,8.31,None,03/16/2020,RF,-0.024647887323943556,0.07872078720787193,None,8.13,7.72,8.35,7.6,17459500.0,7.72,-0.045774647887323806,-0.07099879663056567,None,11.01,10.67,11.07,10.38,11637000.0,10.67,0.2922535211267606,0.28399518652226224
41,Joint,Fox Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,60,1001,15000.0,23.299999,24.379998999999998,22.68,23.190001000000002,3320300.0,23.190001000000002,None,03/16/2020,FOX,-0.004720944408624111,0.0749558641975308,None,20.129998999999998,19.809998999999998,20.549999,19.129998999999998,2577600.0,19.809998999999998,-0.13605150798504334,-0.14575255947595708,None,25.459999,25.4,25.51,24.32,1554400.0,25.4,0.09270386663965094,0.09529965091420203
42,Joint,"Live Nation Entertainment, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,61,1001,15000.0,35.0,39.23,34.849998,36.310001,9548800.0,36.310001,None,03/16/2020,LYV,0.03742859999999999,0.12568155671056272,None,33.57,37.330002,39.310001,33.0,6333400.0,37.330002,-0.04085714285714285,0.02809146163339408,None,38.549999,39.41,40.02,36.139998999999996,6211300.0,39.41,0.10142854285714285,0.0853758996040787
43,Joint,Huntsman Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,62,1001,15000.0,13.52,14.49,13.24,13.76,3419800.0,13.76,None,03/16/2020,HUN,0.017751479289940846,0.09441087613293052,None,12.85,12.87,13.29,12.27,2874800.0,12.87,-0.049556213017751476,-0.06468023255813958,None,16.76,16.450001,16.889999,16.15,2139400.0,16.450001,0.23964497041420132,0.19549425872093026
44,Joint,AMERCO,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,63,1001,15000.0,280.0,285.799988,272.359985,283.910004,108100.0,283.910004,None,03/17/2020,UHAL,0.013964300000000053,0.04934646695622336,None,257.290009,274.619995,276.880005,257.290009,90100.0,274.619995,-0.08110711071428572,-0.03272166837770182,None,269.899994,260.070007,280.149994,256.519989,58000.0,260.070007,-0.036071450000000026,-0.08397026051959774
45,Joint,"Live Nation Entertainment, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,64,1001,15000.0,37.0,37.5,32.110001000000004,33.919998,7113900.0,33.919998,None,03/17/2020,LYV,-0.0832432972972973,0.16786044323075527,None,41.240002000000004,42.939999,43.490002000000004,40.529999,6404900.0,42.939999,0.11459464864864875,0.26591985648112365,None,39.669998,41.959998999999996,42.419998,39.669998,6017900.0,41.959998999999996,0.0721621081081081,0.23702834534365233
46,Joint,Axalta Coating Systems Ltd.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,65,1001,15000.0,15.95,16.200001,14.48,14.52,6709600.0,14.52,None,03/17/2020,AXTA,-0.08965517241379309,0.1187845994475138,None,14.17,14.73,15.44,13.72,5731400.0,14.73,-0.11159874608150466,0.014462809917355431,None,18.6,18.360001,18.799999,18.264999,2783600.0,18.360001,0.1661442006269594,0.26446287878787883
47,Joint,"PepsiCo, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,67,15001,50000.0,116.699997,127.860001,116.389999,127.720001,14242300.0,127.720001,None,03/17/2020,PEP,-0.09443019951405826,-0.09854800325240998,None,109.93,113.839996,114.43,109.370003,11447000.0,113.839996,0.05801197235677726,0.10867526535644169,None,133.220001,138.399994,138.630005,132.350006,6278700.0,138.399994,-0.1415595923280101,-0.08362036420591631
48,Joint,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,68,1001,15000.0,10.17,11.48,9.97,10.88,7291400.0,10.88,None,03/17/2020,NWSA,0.06981317600786635,0.15145436308926777,None,8.65,8.68,8.7,8.33,2568500.0,8.68,-0.14945919370698127,-0.20220588235294126,None,9.58,9.41,9.6,9.14,2416400.0,9.41,-0.058013765978367736,-0.1351102941176471
49,Joint,"First Hawaiian, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,69,1001,15000.0,18.26,19.73,17.99,19.690001000000002,1583600.0,19.690001000000002,None,03/17/2020,FHB,0.07831330777656083,0.09672040022234586,None,16.459999,16.49,16.91,15.8,1544200.0,16.49,-0.09857617743702089,-0.16251908773392157,None,17.02,16.02,17.08,15.82,1588500.0,16.02,-0.06790799561883909,-0.18638907128547136
50,Joint,Cognizant Technology Solutions Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,70,1001,15000.0,44.540001000000004,50.650002,43.669998,50.099998,6919500.0,50.099998,None,03/17/2020,CTSH,0.12483154187625625,0.15983522600573513,None,43.68,46.41,46.5,43.080002,5853300.0,46.41,-0.019308508771699488,-0.07365265763084468,None,53.900002,54.07,54.150002,53.029999,5486600.0,54.07,0.21014819914350688,0.0792415600495633
51,Joint,Sysco Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,71,1001,15000.0,38.02,38.380001,32.040001000000004,35.060001,17467700.0,34.683193,None,03/17/2020,SYY,-0.07785373487638093,0.19787764675787606,None,39.299999,38.98,43.0,37.880001,10948100.0,38.561062,0.03366646501841127,0.11180829686798917,None,48.02,48.32,49.919998,47.349998,3717000.0,48.32,0.2630194634402946,0.37820874563009854
